Element,Host,Comp_Mo,Comp_Nb,Comp_Ta,Comp_V,Comp_W,Host_Mo,Host_Nb,Host_Ta,Host_V,Host_W,Pure_VFE,Alloy_VFE,Min_VFE,Max_VFE,Percentile_VFE,
MoTaVW,Ta,0.25,0,0.25,0.25,0.25,0,0,1,0,0,2.840733703703677,3.5224920370370385,2.845093704,4.054823704,3.293064,3.741721
NbTaVW,Ta,0,0.25,0.25,0.25,0.25,0,0,1,0,0,2.840733703703677,3.0343831481481987,2.612513704,3.371773704,2.878791,3.193656
MoNbTaVW,Ta,0.2,0.2,0.2,0.2,0.2,0,0,1,0,0,2.840733703703677,3.2616437037037485,2.831244,3.798174,3.043572,3.441339
MoV,V,0.5,0,0,0.5,0,0,0,0,1,0,2.3033037037037047,3.247438074,3.151114,3.333664,3.225799,3.276889
NbV,V,0,0.5,0,0.5,0,0,0,0,1,0,2.3033037037037047,2.3781573333333745,2.033134,2.717164,2.244894,2.510104
VW,V,0,0,0,0.5,0.5,0,0,0,1,0,2.3033037037037047,3.543191037036999,3.477284,3.641554,3.505984,3.582639
TaV,V,0,0,0.5,0.5,0,0,0,0,1,0,2.3033037037037047,2.455825926,2.09,2.82,2.305,2.6
MoNbV,V,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0,0,0,0,1,0,2.3033037037037047,2.913313703703732,2.473423704,3.250483704,2.794813704,3.014161204
MoTaV,V,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0,0,0,0,1,0,2.3033037037037047,2.957077592592599,2.577983704,3.272003704,2.848228704,3.080988704
MoVW,V,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0,0,0,1,0,2.3033037037037047,3.7414942592592726,3.64,3.83,3.705,3.785
NbTaV,V,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,0,1,0,2.3033037037037047,2.4797525925925914,1.97,2.8,2.3475,2.6225
NbVW,V,0,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0,0,0,1,0,2.3033037037037047,3.01,2.6,3.5,2.76,3.46
TaVW,V,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,1,0,2.3033037037037047,3.1977,2.73,3.64,2.9,3.39
MoNbTaV,V,0.25,0.25,0.25,0.25,0,0,0,0,1,0,2.3033037037037047,2.8198831481480915,2.250613704,3.238383704,2.751268704,2.947571204
MoTaVW,V,0.25,0,0.25,0.25,0.25,0,0,0,1,0,2.3033037037037047,3.3987909259259252,3.183033704,3.816893704,3.245006,3.478956
MoNbVW,V,0.25,0.25,0,0.25,0.25,0,0,0,1,0,2.3033037037037047,3.3049064814814675,3.049583704,3.706043704,3.157829,3.541156
NbTaVW,V,0,0.25,0.25,0.25,0.25,0,0,0,1,0,2.3033037037037047,2.941717387914275,2.405143704,3.725923704,2.792126,2.990741
MoNbTaVW,V,0.2,0.2,0.2,0.2,0.2,0,0,0,1,0,2.3033037037037047,3.064529158249198,2.761694,3.325044,2.947149,3.181014
MoW,W,0.5,0,0,0,0.5,0,0,0,0,1,2.8663366666667116,2.678738852,2.615907,2.761487,2.642167,2.715282
NbW,W,0,0.5,0,0,0.5,0,0,0,0,1,2.8663366666667116,3.511662555555555,3.180477,3.989997,3.353707,3.677492
VW,W,0,0,0,0.5,0.5,0,0,0,0,1,2.8663366666667116,3.6354881111111075,3.520517,3.717887,3.602412,3.671827
TaW,W,0,0,0.5,0,0.5,0,0,0,0,1,2.8663366666667116,3.8150533333334047,3.42,4.29,3.69,3.965
MoNbW,W,0.3333333333333333,0.3333333333333333,0,0,0.3333333333333333,0,0,0,0,1,2.8663366666667116,3.739585000000062,3.477346667,4.012826667,3.661792,3.815645
MoTaW,W,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0,0,0,0,1,2.8663366666667116,3.906706666666754,3.676326667,4.289776667,3.832687,3.961007
MoVW,W,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0,1,2.8663366666667116,3.7545027777778284,3.64,3.91,3.7325,3.76
NbTaW,W,0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0,0,0,0,1,2.8663366666667116,3.312180555555636,2.82,3.73,3.155,3.425
NbVW,W,0,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0,0,0,0,1,2.8663366666667116,3.12,2.67,3.57,3.08,3.41
TaVW,W,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,0,1,2.8663366666667116,3.3394,2.92,3.86,3.16,3.52
MoNbTaW,W,0.25,0.25,0.25,0,0.25,0,0,0,0,1,2.8663366666667116,3.644482222,3.029376667,3.951786667,3.556302,3.767567
MoTaVW,W,0.25,0,0.25,0.25,0.25,0,0,0,0,1,2.8663366666667116,3.585297777777829,3.166716667,4.153586667,3.382472,3.790942
MoNbVW,W,0.25,0.25,0,0.25,0.25,0,0,0,0,1,2.8663366666667116,3.460622777777828,2.957006667,3.990186667,3.219954,3.656832
NbTaVW,W,0,0.25,0.25,0.25,0.25,0,0,0,0,1,2.8663366666667116,3.155985555555644,2.534896667,3.526246667,3.00078917,3.30934417
MoNbTaVW,W,0.2,0.2,0.2,0.2,0.2,0,0,0,0,1,2.8663366666667116,3.3007266666667707,2.802687,3.876487,3.187007,3.427187
Mo,Mo,1,0,0,0,0,1,0,0,0,0,2.81734,2.81734,2.81734,2.81734,2.81734,2.81734
Nb,Nb,0,1,0,0,0,0,1,0,0,0,2.7863611111110913,2.7863611111110913,2.7863611111110913,2.7863611111110913,2.7863611111110913,2.7863611111110913
Ta,Ta,0,0,1,0,0,0,0,1,0,0,2.840733703703677,2.840733703703677,2.840733703703677,2.840733703703677,2.840733703703677,2.840733703703677
V,V,0,0,0,1,0,0,0,0,1,0,2.3033037037037047,2.3033037037037047,2.3033037037037047,2.3033037037037047,2.3033037037037047,2.3033037037037047
W,W,0,0,0,0,1,0,0,0,0,1,2.8663366666667116,2.8663366666667116,2.8663366666667116,2.8663366666667116,2.8663366666667116,2.8663366666667116
